Patrick|Star|patrick@spongebob.com|1234567890
Bob|Smith|bob@smith.com|1234567890
Squidword|Squid|squidword@spongebob.com|1234567890
John|Doe|email@email.com|1234567890
John|Wayne|theduke@western.com|1234567890
Homer|Simpson|homer@simpsons.com|1234567890
Spider|Man|webcrawler@spiderman.com|1234567890
Carmen|San Diego|whereami@carmen.com|1234567890
Darth|Vader|sithlord@empire.com|1234567890
Luke|Skywalker|luke@jedi.com|1234567890
Mickey|Mouse|mickey@disney.com|1234567890
Han|Solo|han@smuggler.com|1234567890
Michael|Jordan|23@bulls.com|1234567890
Kenny|Lofton|kenny@tribe.com|1234567890
Albert|Belle|slugger@tribe.com|1234567890
Michael|Brantley|drsmooth@tribe.com|1234567890
Mister|Potatohead|spud@idaho.com|1234567890
Lone|Ranger|loneranger@ranger.com|1234567890
Bugs|Bunny|bugs@acme.com|1234567890
